Summary,Summary
"Account Dashboard","Account Dashboard"
"Account Information","Account Information"
"Address Book","Address Book"
Menu,Menu
Account,Account
Settings,Settings
"Please select a region, state or province.","Select State"
"Shipping Methods","Shipping Options"
"Shipping Disclaimer","Due to high seasonal volumes, please allow several business days for your order to be prepared for shipping."
"Next","Continue to Review and Payment"
"Apply Discount","Apply"
"Cancel coupon","Remove"
"Shopping Cart","Cart"
"Quantity","Qty"
"Unit Price","Price"